tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance,is_labeled
ASAP7,OR3X1,OR3x1_ASAP7_6t_L,B,Y,rise,80.0,0.011519999999999999,0.7,25.0,75.0933,1.0,0.216,0.216,0,1,1,4.394449154672438,0.011454150045115854,4.62962962962963,4.62962962962963,0.05333333333333333,0.05333333333333333,0.05333333333333333,4.62962962962963,1.4285714285714286,0.04,0.0,0
ASAP7,AND3X2,AND3x2_ASAP7_6t_L,B,Y,fall,320.0,0.011519999999999999,0.7,25.0,73.1286,1.0,0.27,0.27,0,1,1,5.771441123130016,0.011454150045115854,3.7037037037037033,3.7037037037037033,0.04266666666666666,0.04266666666666666,0.04266666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X2,OR3x2_ASAP7_6t_L,A,Y,fall,40.0,0.011519999999999999,0.7,25.0,62.4211,1.0,0.27,0.27,0,1,1,3.7135720667043075,0.011454150045115854,3.7037037037037033,3.7037037037037033,0.04266666666666666,0.04266666666666666,0.04266666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,NOR2X1,NOR2x1_ASAP7_6t_L,A,Y,fall,10.0,0.046079999999999996,0.7,25.0,196.359,2.0,0.216,0.108,0,1,1,2.3978952727983707,0.04504984455370874,4.62962962962963,9.25925925925926,0.21333333333333332,0.42666666666666664,0.42666666666666664,9.25925925925926,1.4285714285714286,0.04,0.3333333333333333,0
ASAP7,NAND2X2,NAND2x2_ASAP7_6t_L,A,Y,rise,80.0,0.0057599999999999995,0.7,25.0,42.2988,0.5000000000000001,0.216,0.43199999999999994,0,1,1,4.394449154672438,0.005743474627065725,4.62962962962963,2.3148148148148153,0.026666666666666665,0.013333333333333336,0.026666666666666665,4.62962962962963,1.4285714285714286,0.04,-0.3333333333333333,0
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,C,Y,rise,80.0,0.0014399999999999999,0.7,25.0,37.659,1.0,0.27,0.27,0,1,1,4.394449154672438,0.0014389641942542824,3.7037037037037033,3.7037037037037033,0.005333333333333332,0.005333333333333332,0.005333333333333332,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,C,Y,rise,10.0,0.18431999999999998,0.7,25.0,248.107,1.0,0.37799999999999995,0.37799999999999995,0,1,1,2.3978952727983707,0.1691687702156541,2.645502645502646,2.645502645502646,0.4876190476190477,0.4876190476190477,0.4876190476190477,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,B,Y,fall,5.0,0.046079999999999996,0.7,25.0,200.25,1.0,0.216,0.216,0,1,1,1.791759469228055,0.04504984455370874,4.62962962962963,4.62962962962963,0.21333333333333332,0.21333333333333332,0.21333333333333332,4.62962962962963,1.4285714285714286,0.04,0.0,0
ASAP7,NOR3X2,NOR3x2_ASAP7_6t_L,A,Y,fall,80.0,0.023039999999999998,0.7,25.0,75.7613,3.0000000000000004,0.9720000000000002,0.324,0,1,1,4.394449154672438,0.02277858688933957,1.0288065843621397,3.0864197530864197,0.023703703703703696,0.0711111111111111,0.0711111111111111,3.0864197530864197,1.4285714285714286,0.04,0.5,0
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,B,Y,fall,80.0,0.023039999999999998,0.7,25.0,118.908,1.0,0.216,0.216,0,1,1,4.394449154672438,0.02277858688933957,4.62962962962963,4.62962962962963,0.10666666666666666,0.10666666666666666,0.10666666666666666,4.62962962962963,1.4285714285714286,0.04,0.0,0
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,D,Y,rise,5.0,0.0007199999999999999,0.7,25.0,27.0353,1.0,0.27,0.27,0,1,1,1.791759469228055,0.0007197409243488539,3.7037037037037033,3.7037037037037033,0.002666666666666666,0.002666666666666666,0.002666666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,AND3X4,AND3x4_ASAP7_6t_L,C,Y,fall,160.0,0.09215999999999999,0.7,25.0,156.077,0.7,0.37799999999999995,0.54,0,1,1,5.081404364984463,0.08815738673620517,2.645502645502646,1.8518518518518516,0.24380952380952384,0.17066666666666663,0.17066666666666663,1.8518518518518516,1.4285714285714286,0.04,-0.17647058823529424,0
ASAP7,OR4X2,OR4x2_ASAP7_6t_L,C,Y,fall,80.0,0.0057599999999999995,0.7,25.0,61.9575,1.3333333333333335,0.216,0.162,0,1,1,4.394449154672438,0.005743474627065725,4.62962962962963,6.172839506172839,0.026666666666666665,0.03555555555555555,0.03555555555555555,6.172839506172839,1.4285714285714286,0.04,0.14285714285714285,0
ASAP7,BUFX4,BUFx4_ASAP7_6t_L,A,Y,rise,20.0,0.0057599999999999995,0.7,25.0,25.5387,1.0,0.27,0.27,0,1,1,3.044522437723423,0.005743474627065725,3.7037037037037033,3.7037037037037033,0.02133333333333333,0.02133333333333333,0.02133333333333333,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,A,Y,fall,320.0,0.011519999999999999,0.7,25.0,134.957,1.0,0.27,0.27,0,1,1,5.771441123130016,0.011454150045115854,3.7037037037037033,3.7037037037037033,0.04266666666666666,0.04266666666666666,0.04266666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,C,Y,fall,40.0,0.0028799999999999997,0.7,25.0,46.6952,1.0,0.37799999999999995,0.37799999999999995,0,1,1,3.7135720667043075,0.002875860745464264,2.645502645502646,2.645502645502646,0.00761904761904762,0.00761904761904762,0.00761904761904762,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,B,Y,rise,10.0,0.0014399999999999999,0.7,25.0,19.0183,1.0,0.37799999999999995,0.37799999999999995,0,1,1,2.3978952727983707,0.0014389641942542824,2.645502645502646,2.645502645502646,0.00380952380952381,0.00380952380952381,0.00380952380952381,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,INVX4,INVx4_ASAP7_6t_L,A,Y,rise,20.0,0.023039999999999998,0.7,25.0,36.4771,1.0,0.216,0.216,1,1,1,3.044522437723423,0.02277858688933957,4.62962962962963,4.62962962962963,0.10666666666666666,0.10666666666666666,0.10666666666666666,4.62962962962963,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,A,Y,rise,5.0,0.046079999999999996,0.7,25.0,74.2644,1.0,0.37799999999999995,0.37799999999999995,0,1,1,1.791759469228055,0.04504984455370874,2.645502645502646,2.645502645502646,0.12190476190476192,0.12190476190476192,0.12190476190476192,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,NAND3X1,NAND3x1_ASAP7_6t_L,B,Y,rise,40.0,0.023039999999999998,0.7,25.0,133.22,0.3333333333333333,0.162,0.486,0,1,1,3.7135720667043075,0.02277858688933957,6.172839506172839,2.05761316872428,0.1422222222222222,0.047407407407407405,0.1422222222222222,6.172839506172839,1.4285714285714286,0.04,-0.4999999999999999,0
ASAP7,NAND2X1,NAND2x1_ASAP7_6t_L,A,Y,fall,80.0,0.0007199999999999999,0.7,25.0,9.98517,0.5,0.108,0.216,0,1,1,4.394449154672438,0.0007197409243488539,9.25925925925926,4.62962962962963,0.006666666666666666,0.003333333333333333,0.003333333333333333,4.62962962962963,1.4285714285714286,0.04,-0.3333333333333333,0
ASAP7,OR3X2,OR3x2_ASAP7_6t_L,A,Y,rise,5.0,0.09215999999999999,0.7,25.0,238.582,1.0,0.27,0.27,0,1,1,1.791759469228055,0.08815738673620517,3.7037037037037033,3.7037037037037033,0.34133333333333327,0.34133333333333327,0.34133333333333327,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,NAND3X2,NAND3x2_ASAP7_6t_L,A,Y,fall,160.0,0.046079999999999996,0.7,25.0,120.275,0.33333333333333326,0.324,0.9720000000000002,0,1,1,5.081404364984463,0.04504984455370874,3.0864197530864197,1.0288065843621397,0.1422222222222222,0.04740740740740739,0.04740740740740739,1.0288065843621397,1.4285714285714286,0.04,-0.5,0
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,B,Y,fall,320.0,0.0057599999999999995,0.7,25.0,105.489,1.0,0.27,0.27,0,1,1,5.771441123130016,0.005743474627065725,3.7037037037037033,3.7037037037037033,0.02133333333333333,0.02133333333333333,0.02133333333333333,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR4X2,OR4x2_ASAP7_6t_L,D,Y,fall,20.0,0.0028799999999999997,0.7,25.0,45.8631,1.3333333333333335,0.216,0.162,0,1,1,3.044522437723423,0.002875860745464264,4.62962962962963,6.172839506172839,0.013333333333333332,0.017777777777777774,0.017777777777777774,6.172839506172839,1.4285714285714286,0.04,0.14285714285714285,0
ASAP7,INVX1,INVx1_ASAP7_6t_L,A,Y,fall,10.0,0.0007199999999999999,0.7,25.0,7.47306,1.0,0.054,0.054,1,1,1,2.3978952727983707,0.0007197409243488539,18.51851851851852,18.51851851851852,0.013333333333333332,0.013333333333333332,0.013333333333333332,18.51851851851852,1.4285714285714286,0.04,0.0,0
ASAP7,NOR3X1,NOR3x1_ASAP7_6t_L,B,Y,rise,5.0,0.0057599999999999995,0.7,25.0,34.088,3.0,0.486,0.162,0,1,1,1.791759469228055,0.005743474627065725,2.05761316872428,6.172839506172839,0.011851851851851851,0.03555555555555555,0.011851851851851851,2.05761316872428,1.4285714285714286,0.04,0.4999999999999999,0
ASAP7,NAND3X2,NAND3x2_ASAP7_6t_L,C,Y,rise,160.0,0.09215999999999999,0.7,25.0,288.807,0.33333333333333326,0.324,0.9720000000000002,0,1,1,5.081404364984463,0.08815738673620517,3.0864197530864197,1.0288065843621397,0.2844444444444444,0.09481481481481478,0.2844444444444444,3.0864197530864197,1.4285714285714286,0.04,-0.5,0
ASAP7,NOR2X1,NOR2x1_ASAP7_6t_L,B,Y,fall,40.0,0.0028799999999999997,0.7,25.0,25.9898,2.0,0.216,0.108,0,1,1,3.7135720667043075,0.002875860745464264,4.62962962962963,9.25925925925926,0.013333333333333332,0.026666666666666665,0.026666666666666665,9.25925925925926,1.4285714285714286,0.04,0.3333333333333333,0
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,A,Y,rise,160.0,0.0014399999999999999,0.7,25.0,44.0867,1.0,0.216,0.216,0,1,1,5.081404364984463,0.0014389641942542824,4.62962962962963,4.62962962962963,0.006666666666666666,0.006666666666666666,0.006666666666666666,4.62962962962963,1.4285714285714286,0.04,0.0,0
ASAP7,OR2X4,OR2x4_ASAP7_6t_L,B,Y,rise,320.0,0.0057599999999999995,0.7,25.0,43.8788,1.0,0.324,0.324,0,1,1,5.771441123130016,0.005743474627065725,3.0864197530864197,3.0864197530864197,0.017777777777777774,0.017777777777777774,0.017777777777777774,3.0864197530864197,1.4285714285714286,0.04,0.0,0
ASAP7,INVX1,INVx1_ASAP7_6t_L,A,Y,rise,5.0,0.011519999999999999,0.7,25.0,60.229,1.0,0.054,0.054,1,1,1,1.791759469228055,0.011454150045115854,18.51851851851852,18.51851851851852,0.21333333333333332,0.21333333333333332,0.21333333333333332,18.51851851851852,1.4285714285714286,0.04,0.0,0
ASAP7,NAND3X2,NAND3x2_ASAP7_6t_L,A,Y,rise,5.0,0.023039999999999998,0.7,25.0,64.765,0.33333333333333326,0.324,0.9720000000000002,0,1,1,1.791759469228055,0.02277858688933957,3.0864197530864197,1.0288065843621397,0.0711111111111111,0.023703703703703696,0.0711111111111111,3.0864197530864197,1.4285714285714286,0.04,-0.5,0
ASAP7,OR3X2,OR3x2_ASAP7_6t_L,C,Y,fall,320.0,0.011519999999999999,0.7,25.0,91.5113,1.0,0.27,0.27,0,1,1,5.771441123130016,0.011454150045115854,3.7037037037037033,3.7037037037037033,0.04266666666666666,0.04266666666666666,0.04266666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR2X2,OR2x2_ASAP7_6t_L,A,Y,rise,80.0,0.011519999999999999,0.7,25.0,61.9246,1.3333333333333335,0.216,0.162,0,1,1,4.394449154672438,0.011454150045115854,4.62962962962963,6.172839506172839,0.05333333333333333,0.0711111111111111,0.05333333333333333,4.62962962962963,1.4285714285714286,0.04,0.14285714285714285,0
ASAP7,OR3X2,OR3x2_ASAP7_6t_L,A,Y,fall,20.0,0.0014399999999999999,0.7,25.0,31.81,1.0,0.27,0.27,0,1,1,3.044522437723423,0.0014389641942542824,3.7037037037037033,3.7037037037037033,0.005333333333333332,0.005333333333333332,0.005333333333333332,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,B,Y,fall,10.0,0.023039999999999998,0.7,25.0,70.4044,1.0,0.37799999999999995,0.37799999999999995,0,1,1,2.3978952727983707,0.02277858688933957,2.645502645502646,2.645502645502646,0.06095238095238096,0.06095238095238096,0.06095238095238096,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,OR2X4,OR2x4_ASAP7_6t_L,A,Y,rise,160.0,0.09215999999999999,0.7,25.0,148.857,1.0,0.324,0.324,0,1,1,5.081404364984463,0.08815738673620517,3.0864197530864197,3.0864197530864197,0.2844444444444444,0.2844444444444444,0.2844444444444444,3.0864197530864197,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,C,Y,rise,10.0,0.023039999999999998,0.7,25.0,47.4295,1.0,0.37799999999999995,0.37799999999999995,0,1,1,2.3978952727983707,0.02277858688933957,2.645502645502646,2.645502645502646,0.06095238095238096,0.06095238095238096,0.06095238095238096,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,BUFX8,BUFx8_ASAP7_6t_L,A,Y,rise,80.0,0.18431999999999998,0.7,25.0,142.548,1.0,0.54,0.54,0,1,1,4.394449154672438,0.1691687702156541,1.8518518518518516,1.8518518518518516,0.34133333333333327,0.34133333333333327,0.34133333333333327,1.8518518518518516,1.4285714285714286,0.04,0.0,0
ASAP7,NOR2X2,NOR2x2_ASAP7_6t_L,B,Y,fall,40.0,0.0014399999999999999,0.7,25.0,13.3854,1.9999999999999998,0.43199999999999994,0.216,0,1,1,3.7135720667043075,0.0014389641942542824,2.3148148148148153,4.62962962962963,0.003333333333333334,0.006666666666666666,0.006666666666666666,4.62962962962963,1.4285714285714286,0.04,0.3333333333333333,0
ASAP7,OR4X2,OR4x2_ASAP7_6t_L,B,Y,rise,160.0,0.046079999999999996,0.7,25.0,139.156,1.3333333333333335,0.216,0.162,0,1,1,5.081404364984463,0.04504984455370874,4.62962962962963,6.172839506172839,0.21333333333333332,0.2844444444444444,0.21333333333333332,4.62962962962963,1.4285714285714286,0.04,0.14285714285714285,0
ASAP7,OR2X4,OR2x4_ASAP7_6t_L,A,Y,fall,10.0,0.0057599999999999995,0.7,25.0,34.5755,1.0,0.324,0.324,0,1,1,2.3978952727983707,0.005743474627065725,3.0864197530864197,3.0864197530864197,0.017777777777777774,0.017777777777777774,0.017777777777777774,3.0864197530864197,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,B,Y,rise,5.0,0.023039999999999998,0.7,25.0,45.5655,1.0,0.37799999999999995,0.37799999999999995,0,1,1,1.791759469228055,0.02277858688933957,2.645502645502646,2.645502645502646,0.06095238095238096,0.06095238095238096,0.06095238095238096,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,NOR3X2,NOR3x2_ASAP7_6t_L,B,Y,fall,160.0,0.0028799999999999997,0.7,25.0,37.314,3.0000000000000004,0.9720000000000002,0.324,0,1,1,5.081404364984463,0.002875860745464264,1.0288065843621397,3.0864197530864197,0.002962962962962962,0.008888888888888887,0.008888888888888887,3.0864197530864197,1.4285714285714286,0.04,0.5,0
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,B,Y,rise,320.0,0.0057599999999999995,0.7,25.0,83.8537,1.0,0.27,0.27,0,1,1,5.771441123130016,0.005743474627065725,3.7037037037037033,3.7037037037037033,0.02133333333333333,0.02133333333333333,0.02133333333333333,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X2,OR3x2_ASAP7_6t_L,C,Y,rise,320.0,0.0057599999999999995,0.7,25.0,45.7882,1.0,0.27,0.27,0,1,1,5.771441123130016,0.005743474627065725,3.7037037037037033,3.7037037037037033,0.02133333333333333,0.02133333333333333,0.02133333333333333,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,NAND2X1,NAND2x1_ASAP7_6t_L,A,Y,rise,40.0,0.023039999999999998,0.7,25.0,130.929,0.5,0.108,0.216,0,1,1,3.7135720667043075,0.02277858688933957,9.25925925925926,4.62962962962963,0.21333333333333332,0.10666666666666666,0.21333333333333332,9.25925925925926,1.4285714285714286,0.04,-0.3333333333333333,0
ASAP7,AND4X2,AND4x2_ASAP7_6t_L,D,Y,rise,5.0,0.0014399999999999999,0.7,25.0,32.1873,1.0,0.324,0.324,0,1,1,1.791759469228055,0.0014389641942542824,3.0864197530864197,3.0864197530864197,0.004444444444444444,0.004444444444444444,0.004444444444444444,3.0864197530864197,1.4285714285714286,0.04,0.0,0
ASAP7,OR2X2,OR2x2_ASAP7_6t_L,A,Y,fall,20.0,0.023039999999999998,0.7,25.0,69.5656,1.3333333333333335,0.216,0.162,0,1,1,3.044522437723423,0.02277858688933957,4.62962962962963,6.172839506172839,0.10666666666666666,0.1422222222222222,0.1422222222222222,6.172839506172839,1.4285714285714286,0.04,0.14285714285714285,0
ASAP7,AND3X2,AND3x2_ASAP7_6t_L,C,Y,rise,320.0,0.023039999999999998,0.7,25.0,98.8596,1.0,0.27,0.27,0,1,1,5.771441123130016,0.02277858688933957,3.7037037037037033,3.7037037037037033,0.08533333333333332,0.08533333333333332,0.08533333333333332,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,INVX8,INVx8_ASAP7_6t_L,A,Y,rise,20.0,0.18431999999999998,0.7,25.0,123.321,1.0,0.43199999999999994,0.43199999999999994,1,1,1,3.044522437723423,0.1691687702156541,2.3148148148148153,2.3148148148148153,0.42666666666666675,0.42666666666666675,0.42666666666666675,2.3148148148148153,1.4285714285714286,0.04,0.0,0
ASAP7,NAND2X2,NAND2x2_ASAP7_6t_L,B,Y,rise,160.0,0.046079999999999996,0.7,25.0,168.821,0.5000000000000001,0.216,0.43199999999999994,0,1,1,5.081404364984463,0.04504984455370874,4.62962962962963,2.3148148148148153,0.21333333333333332,0.10666666666666669,0.21333333333333332,4.62962962962963,1.4285714285714286,0.04,-0.3333333333333333,0
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,A,Y,rise,20.0,0.0014399999999999999,0.7,25.0,28.6974,1.0,0.216,0.216,0,1,1,3.044522437723423,0.0014389641942542824,4.62962962962963,4.62962962962963,0.006666666666666666,0.006666666666666666,0.006666666666666666,4.62962962962963,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,B,Y,rise,10.0,0.18431999999999998,0.7,25.0,247.473,1.0,0.37799999999999995,0.37799999999999995,0,1,1,2.3978952727983707,0.1691687702156541,2.645502645502646,2.645502645502646,0.4876190476190477,0.4876190476190477,0.4876190476190477,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,B,Y,fall,20.0,0.09215999999999999,0.7,25.0,213.706,1.0,0.37799999999999995,0.37799999999999995,0,1,1,3.044522437723423,0.08815738673620517,2.645502645502646,2.645502645502646,0.24380952380952384,0.24380952380952384,0.24380952380952384,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,A,Y,rise,80.0,0.0014399999999999999,0.7,25.0,26.2253,1.0,0.37799999999999995,0.37799999999999995,0,1,1,4.394449154672438,0.0014389641942542824,2.645502645502646,2.645502645502646,0.00380952380952381,0.00380952380952381,0.00380952380952381,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,BUFX8,BUFx8_ASAP7_6t_L,A,Y,rise,10.0,0.0057599999999999995,0.7,25.0,18.5007,1.0,0.54,0.54,0,1,1,2.3978952727983707,0.005743474627065725,1.8518518518518516,1.8518518518518516,0.010666666666666665,0.010666666666666665,0.010666666666666665,1.8518518518518516,1.4285714285714286,0.04,0.0,0
ASAP7,AND4X2,AND4x2_ASAP7_6t_L,A,Y,rise,160.0,0.0014399999999999999,0.7,25.0,54.1483,1.0,0.324,0.324,0,1,1,5.081404364984463,0.0014389641942542824,3.0864197530864197,3.0864197530864197,0.004444444444444444,0.004444444444444444,0.004444444444444444,3.0864197530864197,1.4285714285714286,0.04,0.0,0
ASAP7,NAND3X2,NAND3x2_ASAP7_6t_L,B,Y,rise,80.0,0.0014399999999999999,0.7,25.0,29.7291,0.33333333333333326,0.324,0.9720000000000002,0,1,1,4.394449154672438,0.0014389641942542824,3.0864197530864197,1.0288065843621397,0.004444444444444444,0.001481481481481481,0.004444444444444444,3.0864197530864197,1.4285714285714286,0.04,-0.5,0
ASAP7,NOR2X2,NOR2x2_ASAP7_6t_L,B,Y,fall,80.0,0.046079999999999996,0.7,25.0,121.144,1.9999999999999998,0.43199999999999994,0.216,0,1,1,4.394449154672438,0.04504984455370874,2.3148148148148153,4.62962962962963,0.10666666666666669,0.21333333333333332,0.21333333333333332,4.62962962962963,1.4285714285714286,0.04,0.3333333333333333,0
ASAP7,AND2X2,AND2x2_ASAP7_6t_L,B,Y,fall,5.0,0.023039999999999998,0.7,25.0,66.9911,0.75,0.162,0.216,0,1,1,1.791759469228055,0.02277858688933957,6.172839506172839,4.62962962962963,0.1422222222222222,0.10666666666666666,0.10666666666666666,4.62962962962963,1.4285714285714286,0.04,-0.14285714285714285,0
ASAP7,NOR3X1,NOR3x1_ASAP7_6t_L,C,Y,fall,20.0,0.0014399999999999999,0.7,25.0,18.869,3.0,0.486,0.162,0,1,1,3.044522437723423,0.0014389641942542824,2.05761316872428,6.172839506172839,0.002962962962962963,0.008888888888888887,0.008888888888888887,6.172839506172839,1.4285714285714286,0.04,0.4999999999999999,0
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,B,Y,rise,160.0,0.046079999999999996,0.7,25.0,156.546,1.0,0.37799999999999995,0.37799999999999995,0,1,1,5.081404364984463,0.04504984455370874,2.645502645502646,2.645502645502646,0.12190476190476192,0.12190476190476192,0.12190476190476192,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,B,Y,fall,5.0,0.023039999999999998,0.7,25.0,105.918,1.0,0.216,0.216,0,1,1,1.791759469228055,0.02277858688933957,4.62962962962963,4.62962962962963,0.10666666666666666,0.10666666666666666,0.10666666666666666,4.62962962962963,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X2,OR3x2_ASAP7_6t_L,A,Y,rise,160.0,0.046079999999999996,0.7,25.0,137.308,1.0,0.27,0.27,0,1,1,5.081404364984463,0.04504984455370874,3.7037037037037033,3.7037037037037033,0.17066666666666663,0.17066666666666663,0.17066666666666663,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,AND3X2,AND3x2_ASAP7_6t_L,C,Y,rise,160.0,0.09215999999999999,0.7,25.0,262.885,1.0,0.27,0.27,0,1,1,5.081404364984463,0.08815738673620517,3.7037037037037033,3.7037037037037033,0.34133333333333327,0.34133333333333327,0.34133333333333327,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,A,Y,fall,20.0,0.011519999999999999,0.7,25.0,80.8237,1.0,0.27,0.27,0,1,1,3.044522437723423,0.011454150045115854,3.7037037037037033,3.7037037037037033,0.04266666666666666,0.04266666666666666,0.04266666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,A,Y,rise,320.0,0.09215999999999999,0.7,25.0,261.098,1.0,0.37799999999999995,0.37799999999999995,0,1,1,5.771441123130016,0.08815738673620517,2.645502645502646,2.645502645502646,0.24380952380952384,0.24380952380952384,0.24380952380952384,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,A,Y,fall,10.0,0.0014399999999999999,0.7,25.0,23.9236,1.0,0.37799999999999995,0.37799999999999995,0,1,1,2.3978952727983707,0.0014389641942542824,2.645502645502646,2.645502645502646,0.00380952380952381,0.00380952380952381,0.00380952380952381,2.645502645502646,1.4285714285714286,0.04,0.0,0
